id,img_link,name,price(in Rs.),processor,ram,os,storage,display(in inch),rating,no_of_ratings,no_of_reviews
354,https://rukminim1.flixcart.com/image/312/312/k6zda4w0/computer/g/s/z/msi-original-imafpbphchfxrmkp.jpeg?q=70,MSI GP65 Leopard Core i7 10th Gen,156090,Intel Core i7 Processor (10th Gen),32 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|512 GB SSD,15.6,4.4,316,53
355,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70,Lenovo V15 G2 Core i3 11th Gen,37500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,15.6,4.4,53,3
356,https://rukminim1.flixcart.com/image/312/312/kqgyhe80/computer/d/l/f/g15-5510-notebook-dell-original-imag4gy96ahhtmvz.jpeg?q=70,DELL G15 Core i5 10th Gen,69890,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.3,333,29
357,https://rukminim1.flixcart.com/image/312/312/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,63990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,58,7
358,https://rukminim1.flixcart.com/image/312/312/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70,DELL G15 Core i7 12th Gen,108990,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4,12,4
359,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/3/l/-original-imagha3pvvc2xuz2.jpeg?q=70,MSI Bravo Ryzen 5 Hexa Core 5600H,58500,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.4,2239,299
360,https://rukminim1.flixcart.com/image/312/312/kybvo280/computer/c/u/5/-original-imagah7xqmwnt2x6.jpeg?q=70,acer Aspire 3 Ryzen 3 Dual Core 3250U,33200,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.1,264,31
361,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/e/4/q/inspiron-3525-notebook-dell-original-imagd5k6ykzvkhdc.jpeg?q=70,DELL Inspiron Ryzen 3 Quad Core 5425U,41890,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,3.9,8,0
362,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/computer/h/x/8/14iil05-thin-and-light-laptop-lenovo-original-imag7anttggbgmzm.jpeg?q=70,Lenovo IdeaPad Core i3 10th Gen,35990,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,14,4.2,66,8
363,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/e/g/8/g15-5515-gaming-laptop-dell-original-imagcnty69nhzy58.jpeg?q=70,DELL Ryzen 5 Hexa Core AMD R5,71990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4.6,110,22
364,https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/z/o/e/-original-imagckcfz6jgjn3z.jpeg?q=70,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,105990,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,15.6,4.5,90,18
365,https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,Lenovo IdeaPad Gaming 3 Core i5 11th Gen,58900,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,15.6,4.1,45,10
366,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/i/o/-original-imagh3kyz5vch93f.jpeg?q=70,MSI Creator Z16 Core i9 11th Gen,210990,Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,16,4.7,3,0
367,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/e/q/-original-imagmmnamgzjnq9q.jpeg?q=70,Lenovo IdeaPad Slim 5 Ryzen 7 Hexa Core 5700U,65990,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,15.6,4,4,1
